loan_id,checkout_date,due_date,return_date,loan_status,renewal_count,member_id,member_type,department_or_program,member_status,branch_name,book_id,title,language,publication_year,category_name,copy_id,availability_status,condition_status,checkout_librarian,checkout_role
LN000001,2024-09-01,2024-09-22,2024-09-04,returned,0,M000363,student,Psychology,active,Graduate Research Library,B000017,Strategic Management: Principles and Applications 17,English,1996,Management,C000064,available,good,Hana Abbasi,manager
LN000002,2024-09-02,2024-09-23,2024-10-03,returned,1,M000372,student,History,active,Graduate Research Library,B000051,Control Systems: Principles and Applications 51,English,1992,Electrical Engineering,C000171,available,good,Reza Brown,analyst
LN000003,2024-09-02,2024-09-30,2024-09-18,returned,2,M000010,public,,active,Engineering Library,B000147,Modern Fiction: Case Studies and Practice 147,Arabic,2006,Literature,C000479,available,worn,Ali Khan,manager
LN000004,2024-09-03,2024-09-17,2024-09-12,returned,0,M000493,student,Civil Engineering,active,Medical Sciences Library,B000095,Construction Planning: Principles and Applications 95,English,2004,Civil Engineering,C000316,available,good,Ali Khan,manager
LN000005,2024-09-03,2024-09-24,2024-09-24,returned,0,M000373,public,,suspended,Central Library,B000006,Linear Algebra: Case Studies and Practice 6,English,1995,Mathematics,C000019,available,worn,Karim Lee,circulation
LN000006,2024-09-04,2024-09-18,2024-09-15,returned,0,M000402,student,Mathematics,active,Engineering Library,B000210,Logic: Methods for Researchers 210,English,2014,Philosophy,C000667,lost,lost,Karim Lee,circulation
LN000007,2024-09-04,2024-09-18,2024-09-08,returned,0,M000201,faculty,Mathematics,active,Engineering Library,B000108,Robotics: An Applied Introduction 108,English,2017,Mechanical Engineering,C000364,maintenance,worn,Emma Martin,circulation
LN000008,2024-09-04,2024-09-25,2024-09-14,returned,0,M000299,student,Chemistry,active,Graduate Research Library,B000263,Machine Learning: An Applied Introduction 263,English,1998,Computer Science,C000837,available,worn,Emma Farhadi,circulation
LN000009,2024-09-05,2024-10-03,2024-09-15,returned,0,M000301,student,Computer Engineering,expired,Central Library,B000259,Algorithms: A Modern Approach 259,English,1994,Computer Science,C000819,available,good,Emma Khan,circulation
LN000010,2024-09-06,2024-09-20,2024-09-08,returned,0,M000097,student,History,active,Medical Sciences Library,B000136,Development Economics: Principles and Applications 136,English,1997,Economics,C000447,lost,lost,Ali Khan,manager
LN000011,2024-09-06,2024-10-04,2024-09-29,returned,0,M000470,student,Management,active,Engineering Library,B000246,Thermodynamics: Case Studies and Practice 246,English,2016,Mechanical Engineering,C000780,available,worn,Mina Brown,analyst
LN000012,2024-09-06,2024-09-27,2024-09-27,returned,0,M000079,student,Physics,active,Central Library,B000245,Political Philosophy: Case Studies and Practice 245,Persian,1993,Philosophy,C000777,available,worn,Ali Lee,circulation
LN000013,2024-09-08,2024-09-22,2024-09-11,returned,0,M000332,faculty,Mechanical Engineering,active,Central Library,B000149,Database Systems: An Applied Introduction 149,English,2022,Computer Science,C000486,available,good,Hana Abbasi,manager
LN000014,2024-09-08,2024-09-29,2024-10-03,returned,0,M000461,student,Psychology,active,Central Library,B000173,Thermodynamics: Methods for Researchers 173,Persian,1992,Mechanical Engineering,C000560,available,worn,Emma Farhadi,circulation
LN000015,2024-09-08,2024-09-22,2024-10-07,returned,0,M000471,student,Literature,active,Central Library,B000124,"Strategic Management: Concepts, Models, and Tools 124",Persian,2009,Management,C000413,available,good,Hana Abbasi,manager
